2024-12-09 03:16:35,847 INFO    MainThread:4165048 [wandb_setup.py:_flush():79] Current SDK version is 0.18.5
2024-12-09 03:16:35,848 INFO    MainThread:4165048 [wandb_setup.py:_flush():79] Configure stats pid to 4165048
2024-12-09 03:16:35,848 INFO    MainThread:4165048 [wandb_setup.py:_flush():79] Loading settings from /home/sizhechen/.config/wandb/settings
2024-12-09 03:16:35,848 INFO    MainThread:4165048 [wandb_setup.py:_flush():79] Loading settings from /opt/hpcaas/.mounts/fs-0565f60d669b6a2d3/home/sizhechen/SecAlign_fairinternal/advprompter/wandb/settings
2024-12-09 03:16:35,848 INFO    MainThread:4165048 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-12-09 03:16:35,848 INFO    MainThread:4165048 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-12-09 03:16:35,848 INFO    MainThread:4165048 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'advprompter/main.py', 'program_abspath': '/opt/hpcaas/.mounts/fs-0565f60d669b6a2d3/home/sizhechen/SecAlign_fairinternal/advprompter/main.py', 'program': '/opt/hpcaas/.mounts/fs-0565f60d669b6a2d3/home/sizhechen/SecAlign_fairinternal/advprompter/main.py'}
2024-12-09 03:16:35,848 INFO    MainThread:4165048 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-12-09 03:16:35,848 INFO    MainThread:4165048 [wandb_init.py:_log_setup():534] Logging user logs to /opt/hpcaas/.mounts/fs-0565f60d669b6a2d3/home/sizhechen/SecAlign_fairinternal/advprompter/wandb/run-20241209_031635-p7is1up3/logs/debug.log
2024-12-09 03:16:35,848 INFO    MainThread:4165048 [wandb_init.py:_log_setup():535] Logging internal logs to /opt/hpcaas/.mounts/fs-0565f60d669b6a2d3/home/sizhechen/SecAlign_fairinternal/advprompter/wandb/run-20241209_031635-p7is1up3/logs/debug-internal.log
2024-12-09 03:16:35,849 INFO    MainThread:4165048 [wandb_init.py:init():621] calling init triggers
2024-12-09 03:16:35,849 INFO    MainThread:4165048 [wandb_init.py:init():628] wandb.init called with sweep_config: {}
config: {'prompter': {'llm_params': {'device': 'cuda:1', 'freeze': False, 'dtype': 'float32', 'model_name': 'llama2-7b', 'checkpoint': 'meta-llama/Llama-2-7b-hf', 'lora_params': {'warmstart': False, 'lora_checkpoint': None, 'lora_config': {'r': 8, 'lora_alpha': 16, 'bias': 'none', 'target_modules': ['q_proj', 'v_proj', 'lm_head']}}}, 'allow_non_ascii': False, 'gen_params': {'do_sample': True, 'temperature': 1.0, 'top_p': 0.9}, 'prompt_manager': {'prompt_template': [{'key': 'system_message', 'msg': '<s>'}, {'key': 'hyper_instruct', 'msg': '{instruct}'}, {'key': 'suffix', 'msg': '{suffix}'}]}}, 'target_llm': {'llm_params': {'device': 'cuda:0', 'freeze': True, 'dtype': 'float16', 'lora_params': {'lora_checkpoint': None, 'lora_config': None}, 'model_name': 'Meta-Llama-3-8B_SpclSpclSpcl_None_2024-08-09-17-02-02', 'checkpoint': '../meta-llama/Meta-Llama-3-8B_SpclSpclSpcl_None_2024-08-09-17-02-02'}, 'allow_non_ascii': True, 'gen_params': {'max_new_tokens': 150, 'do_sample': False}, 'prompt_manager': {'prompt_template': [{'key': 'system_message', 'msg': 'Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.\n\n'}, {'key': 'full_instruct', 'msg': '{full_instruct}'}, {'key': 'separator', 'msg': '\n\n[MARK] [RESP][COLN]\n'}, {'key': 'target', 'msg': '{target}'}]}}, 'verbose': True, 'seed': 2023, 'reweight_loss': True, 'output_dir': './exp/local/2024.12.09/031635_Meta-Llama-3-8B_SpclSpclSpcl_None_2024-08-09-17-02-02', 'data': {'data_dir': './data', 'test_prefixes_pth': './data/prompt_injected_prefixes.csv', 'affirmative_prefixes_pth': './data/prompt_injected_prefixes.csv'}, 'wandb_params': {'entity': 'sizhe-chen', 'project': 'advprompter', 'log_sequences_every': {'train': 100, 'eval': 100}, 'enable_wandb': True}, 'mode': 'train', 'eval': {'batch_size': 8, 'num_trials': 1, 'prompter': {'max_new_tokens_list': [30]}, 'data': {'suffix_dataset_dir': './exp/local/2024.12.09/031635_Meta-Llama-3-8B_SpclSpclSpcl_None_2024-08-09-17-02-02/suffix_dataset', 'dataset_pth_dct': {'train': './data/prompt_injections/dataset/test.csv'}}}, 'train': {'q_params': {'max_new_tokens': 30, 'num_beams': 4, 'repetition_penalty': 1.2, 'top_k': 48, 'num_chunks': 6, 'lambda_val': 1000, 'candidates': {'do_sample': True, 'temperature': 0.6, 'always_include_best': True}, 'beams': {'do_sample': True, 'temperature': 0.6, 'always_include_best': True}}, 'epochs': 10, 'dataset_key': 'foo', 'dataset_pth': './data/prompt_injections/dataset/test.csv', 'suffix_opt_dataset_dir': './exp/local/2024.12.09/031635_Meta-Llama-3-8B_SpclSpclSpcl_None_2024-08-09-17-02-02/suffix_opt_dataset', 'do_initial_eval': False, 'eval_every': 1, 'model_save_dir': './exp/local/2024.12.09/031635_Meta-Llama-3-8B_SpclSpclSpcl_None_2024-08-09-17-02-02/checkpoints', 'augment_target': True, 'replay_buffer': {'num_updates': 8, 'size': 256, 'priority_alpha': 1.5, 'priority_factor': {'loss_delta': 1.0, 'jailbreaking': 1.0}}, 'prompter_optim_params': {'lr': 0.0005}, 'batch_size': 4}, 'pretrain': {'enable': False, 'epochs': 20, 'batch_size': 8, 'dataset_key': 'pretrain', 'dataset_pth': '...', 'do_eval_after': True}}
2024-12-09 03:16:35,849 INFO    MainThread:4165048 [wandb_init.py:init():671] starting backend
2024-12-09 03:16:35,849 INFO    MainThread:4165048 [wandb_init.py:init():675] sending inform_init request
2024-12-09 03:16:35,855 INFO    MainThread:4165048 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-12-09 03:16:35,855 INFO    MainThread:4165048 [wandb_init.py:init():688] backend started and connected
2024-12-09 03:16:35,867 INFO    MainThread:4165048 [wandb_init.py:init():783] updated telemetry
2024-12-09 03:16:35,903 INFO    MainThread:4165048 [wandb_init.py:init():816] communicating run to backend with 90.0 second timeout
2024-12-09 03:16:36,374 INFO    MainThread:4165048 [wandb_init.py:init():867] starting run threads in backend
2024-12-09 03:16:36,976 INFO    MainThread:4165048 [wandb_run.py:_console_start():2463] atexit reg
2024-12-09 03:16:36,976 INFO    MainThread:4165048 [wandb_run.py:_redirect():2311] redirect: wrap_raw
2024-12-09 03:16:36,976 INFO    MainThread:4165048 [wandb_run.py:_redirect():2376] Wrapping output streams.
2024-12-09 03:16:36,976 INFO    MainThread:4165048 [wandb_run.py:_redirect():2401] Redirects installed.
2024-12-09 03:16:36,988 INFO    MainThread:4165048 [wandb_init.py:init():911] run started, returning control to user process
2024-12-09 03:23:29,466 WARNING MsgRouterThr:4165048 [router.py:message_loop():77] message_loop has been closed
